filename,word,provider,split_random,split_by_provider
hello_var7__ExeterDeafAcademyVoiceOff.mp4,hello,ExeterDeafAcademyVoiceOff,val,train
friend_var6__ExeterDeafAcademyVoiceOff.mp4,friend,ExeterDeafAcademyVoiceOff,train,train
big__signstation.mp4,big,signstation,test,train
play_var2__signmonkey.mp4,play,signmonkey,train,train
eat_var4__youtube.mp4,eat,youtube,val,train
night_var4__signmonkey.mp4,night,signmonkey,train,train
he__signstation.mp4,he,signstation,train,train
home_var11__mp4.mp4,home,wolver,train,train
speak_var3__corpusngt.mp4,speak,corpusngt,train,train
child_var10__signon.mp4,child,signon,train,test
big_var3__signstation.mp4,big,signstation,val,train
sister_var4__signmonkey.mp4,sister,signmonkey,train,train
why__signstation.mp4,why,signstation,train,train
now_var5__gpnhs.mp4,now,gpnhs,train,train
drink_var8__bslfirst.mp4,drink,bslfirst,test,train
know_var3__signmonkey.mp4,know,signmonkey,train,train
see_var7__ExeterDeafAcademyVoiceOff.mp4,see,ExeterDeafAcademyVoiceOff,train,train
hospital_var2__gpnhs.mp4,hospital,gpnhs,train,train
family_var8__bslfirst.mp4,family,bslfirst,test,train
please__signstation.mp4,please,signstation,train,train
learn__signstation.mp4,learn,signstation,train,train
i_var5__corpusngt.mp4,i,corpusngt,train,train
how_var9__youtube.mp4,how,youtube,test,train
mother__signstation.mp4,mother,signstation,train,train
good-night_var2__deafway.mp4,good-night,deafway,train,val
now__signstation.mp4,now,signstation,train,train
today_var5__signon.mp4,today,signon,train,test
when_var4__signmonkey.mp4,when,signmonkey,train,train
drink_var6__bslfirst.mp4,drink,bslfirst,train,train
one_var7__bslfirst.mp4,one,bslfirst,train,train
now_var10__signon.mp4,now,signon,train,test
go_var12__mp4.mp4,go,wolver,train,train
sister_var7__nf.mp4,sister,nf,test,train
three_var6__youtube.mp4,three,youtube,train,train
how_var7__nf.mp4,how,nf,train,train
learn_var4__signmonkey.mp4,learn,signmonkey,train,train
help_var10__signstation.mp4,help,signstation,train,train
why_var3__gpnhs.mp4,why,gpnhs,test,train
hearing_var3__signmonkey.mp4,hearing,signmonkey,train,train
food_var5__youtube.mp4,food,youtube,train,train
family_var4__signmonkey.mp4,family,signmonkey,train,train
play__signstation.mp4,play,signstation,train,train
night_var10__hairandbeauty.mp4,night,hairandbeauty,train,train
sign_var11__mp4.mp4,sign,cs,train,train
how_var8__youtube.mp4,how,youtube,train,train
please_var3__deafway.mp4,please,deafway,train,val
deaf_var10__youtube.mp4,deaf,youtube,train,train
what_var4__signmonkey.mp4,what,signmonkey,train,train
money_var6__youtube.mp4,money,youtube,train,train
where_var5__gpnhs.mp4,where,gpnhs,train,train
see_var4__signmonkey.mp4,see,signmonkey,train,train
good_var2__signstation.mp4,good,signstation,train,train
deaf_var7__ExeterDeafAcademyVoiceOff.mp4,deaf,ExeterDeafAcademyVoiceOff,train,train
hot_var6__nf.mp4,hot,nf,train,train
home_var4__signstation.mp4,home,signstation,train,train
hello_var6__signmonkey.mp4,hello,signmonkey,train,train
work__signstation.mp4,work,signstation,train,train
easy_var4__signon.mp4,easy,signon,train,test
good_var6__nf.mp4,good,nf,test,train
sorry_var4__signmonkey.mp4,sorry,signmonkey,train,train
please_var6__signmonkey.mp4,please,signmonkey,train,train
love__signstation.mp4,love,signstation,test,train
today_var3__signmonkey.mp4,today,signmonkey,val,train
hello_var2__signstation.mp4,hello,signstation,train,train
baby_var2__signstation.mp4,baby,signstation,train,train
morning_var14__gpnhs.mp4,morning,gpnhs,test,train
child_var7__youtube.mp4,child,youtube,train,train
office_var4__signmonkey.mp4,office,signmonkey,train,train
old_var6__bslfirst.mp4,old,bslfirst,test,train
hot_var7__nf.mp4,hot,nf,train,train
go_var9__corpusngt.mp4,go,corpusngt,train,train
old_var5__gpnhs.mp4,old,gpnhs,train,train
i__signstation.mp4,i,signstation,train,train
three_var4__corpusngt.mp4,three,corpusngt,val,train
need_var3__signstation.mp4,need,signstation,train,train
family_var11__youtube.mp4,family,youtube,train,train
sleep_var2__signstation.mp4,sleep,signstation,train,train
good_var4__signmonkey.mp4,good,signmonkey,train,train
good_var3__youtube.mp4,good,youtube,train,train
father__signstation.mp4,father,signstation,test,train
hearing_var4__signon.mp4,hearing,signon,test,test
home_var9__bslfirst.mp4,home,bslfirst,train,train
year_var5__corpusngt.mp4,year,corpusngt,train,train
month__signstation.mp4,month,signstation,train,train
need_var5__signon.mp4,need,signon,train,test
father_var7__youtube.mp4,father,youtube,train,train
help__signstation.mp4,help,signstation,train,train
good__signstation.mp4,good,signstation,train,train
two_var2__signstation.mp4,two,signstation,train,train
hot_var12__mp4.mp4,hot,wolver,train,train
office_var3__mp4.mp4,office,wolver,train,train
friend_var5__nf.mp4,friend,nf,test,train
good-evening_var2__deafsigns.mp4,good-evening,deafsigns,train,test
hear_var2__signstation.mp4,hear,signstation,train,train
how_var4__youtube.mp4,how,youtube,train,train
small_var5__signstation.mp4,small,signstation,train,train
see_var2__signstation.mp4,see,signstation,val,train
sad__signstation.mp4,sad,signstation,val,train
family_var7__nf.mp4,family,nf,train,train
one_var5__nf.mp4,one,nf,train,train
happy_var2__signmonkey.mp4,happy,signmonkey,test,train
home_var2__signstation.mp4,home,signstation,test,train
work_var5__signmonkey.mp4,work,signmonkey,val,train
hard_var4__signon.mp4,hard,signon,train,test
want_var2__signmonkey.mp4,want,signmonkey,train,train
please_var2__signstation.mp4,please,signstation,train,train
mother_var2__deafway.mp4,mother,deafway,val,val
small_var4__signstation.mp4,small,signstation,train,train
goodbye_var4__youtube.mp4,goodbye,youtube,train,train
sign_var8__mp4.mp4,sign,wolver,train,train
office_var10__nf.mp4,office,nf,val,train
sorry_var3__youtube.mp4,sorry,youtube,test,train
which_var3__signmonkey.mp4,which,signmonkey,train,train
brother_var11__mp4.mp4,brother,wolver,train,train
year_var4__signmonkey.mp4,year,signmonkey,train,train
happy_var6__ExeterDeafAcademyVoiceOff.mp4,happy,ExeterDeafAcademyVoiceOff,train,train
hard_var5__gpnhs.mp4,hard,gpnhs,train,train
good-morning_var2__deafway.mp4,good-morning,deafway,train,val
week__signstation.mp4,week,signstation,train,train
father_var3__signmonkey.mp4,father,signmonkey,train,train
read_var6__corpusngt.mp4,read,corpusngt,train,train
play_var4__gpnhs.mp4,play,gpnhs,val,train
see_var13__gpnhs.mp4,see,gpnhs,train,train
learn_var6__gpnhs.mp4,learn,gpnhs,train,train
mother_var5__gpnhs.mp4,mother,gpnhs,train,train
toilet_var5__signmonkey.mp4,toilet,signmonkey,train,train
what_var5__gpnhs.mp4,what,gpnhs,train,train
yesterday__signstation.mp4,yesterday,signstation,test,train
three_var3__signstation.mp4,three,signstation,test,train
baby_var7__nf.mp4,baby,nf,train,train
help_var7__gpnhs.mp4,help,gpnhs,train,train
sign_var4__corpusngt.mp4,sign,corpusngt,train,train
where_var4__signmonkey.mp4,where,signmonkey,val,train
when_var5__gpnhs.mp4,when,gpnhs,train,train
now_var2__youtube.mp4,now,youtube,train,train
know__signstation.mp4,know,signstation,train,train
baby_var3__youtube.mp4,baby,youtube,train,train
see_var9__corpusngt.mp4,see,corpusngt,train,train
understand__signstation.mp4,understand,signstation,train,train
hello_var4__deafway.mp4,hello,deafway,train,val
shop_var3__mp4.mp4,shop,wolver,test,train
toilet_var2__signstation.mp4,toilet,signstation,train,train
five_var3__corpusngt.mp4,five,corpusngt,val,train
family__signstation.mp4,family,signstation,train,train
cold_var4__corpusngt.mp4,cold,corpusngt,test,train
good-afternoon_var5__bslfirst.mp4,good-afternoon,bslfirst,train,train
cold__signstation.mp4,cold,signstation,val,train
sister_var5__corpusngt.mp4,sister,corpusngt,val,train
morning_var10__signstation.mp4,morning,signstation,train,train
hear_var6__gpnhs.mp4,hear,gpnhs,train,train
name_var5__signstation.mp4,name,signstation,train,train
fast__signstation.mp4,fast,signstation,train,train
sleep_var3__corpusngt.mp4,sleep,corpusngt,train,train
home_var5__mp4.mp4,home,wolver,train,train
good-evening_var5__youtube.mp4,good-evening,youtube,train,train
which__signstation.mp4,which,signstation,test,train
one_var9__youtube.mp4,one,youtube,train,train
no_var7__youtube.mp4,no,youtube,train,train
no_var2__corpusngt.mp4,no,corpusngt,train,train
one_var2__signstation.mp4,one,signstation,train,train
food_var2__nutrient.mp4.mp4,food,ssc,train,train
tomorrow__signstation.mp4,tomorrow,signstation,train,train
thank-you_var5__signmonkey.mp4,thank-you,signmonkey,train,train
small__signstation.mp4,small,signstation,train,train
cold_var3__signmonkey.mp4,cold,signmonkey,train,train
when_var8__youtube.mp4,when,youtube,train,train
goodbye_var2__signstation.mp4,goodbye,signstation,train,train
sorry__signstation.mp4,sorry,signstation,val,train
how_var10__youtube.mp4,how,youtube,train,train
morning_var12__signmonkey.mp4,morning,signmonkey,train,train
see_var5__gpnhs.mp4,see,gpnhs,train,train
family_var2__deafway.mp4,family,deafway,train,val
toilet__signstation.mp4,toilet,signstation,train,train
good_var5__corpusngt.mp4,good,corpusngt,val,train
i_var2__youtube.mp4,i,youtube,val,train
hard_var9__youtube.mp4,hard,youtube,train,train
now_var6__signstation.mp4,now,signstation,train,train
child_var2__signstation.mp4,child,signstation,train,train
food_var3__youtube.mp4,food,youtube,train,train
cold_var6__nf.mp4,cold,nf,train,train
sorry_var2__deafway.mp4,sorry,deafway,train,val
what_var8__youtube.mp4,what,youtube,train,train
yes_var3__nf.mp4,yes,nf,val,train
when_var7__youtube.mp4,when,youtube,val,train
child_var12__gpnhs.mp4,child,gpnhs,train,train
hello_var9__youtube.mp4,hello,youtube,train,train
who_var3__signstation.mp4,who,signstation,train,train
sign_var7__mp4.mp4,sign,wolver,train,train
play_var10__mp4.mp4,play,wolver,train,train
hot__signstation.mp4,hot,signstation,train,train
sad_var3__signmonkey.mp4,sad,signmonkey,train,train
who_var8__youtube.mp4,who,youtube,train,train
no__signstation.mp4,no,signstation,val,train
go_var2__youtube.mp4,go,youtube,train,train
office__signstation.mp4,office,signstation,train,train
two_var3__nf.mp4,two,nf,val,train
small_var7__gpnhs.mp4,small,gpnhs,train,train
work_var11__mp4.mp4,work,wolver,train,train
one_var8__youtube.mp4,one,youtube,train,train
play_var9__nf.mp4,play,nf,train,train
home_var3__signstation.mp4,home,signstation,train,train
who_var4__signstation.mp4,who,signstation,train,train
name_var7__mp4.mp4,name,ict,train,train
please_var4__youtube.mp4,please,youtube,test,train
who_var5__signmonkey.mp4,who,signmonkey,test,train
who__signstation.mp4,who,signstation,val,train
hard_var8__ExeterDeafAcademyVoiceOff.mp4,hard,ExeterDeafAcademyVoiceOff,train,train
morning_var6__youtube.mp4,morning,youtube,train,train
what_var12__youtube.mp4,what,youtube,train,train
good-morning__signstation.mp4,good-morning,signstation,train,train
happy__signstation.mp4,happy,signstation,train,train
good_var7__youtube.mp4,good,youtube,train,train
how_var2__signstation.mp4,how,signstation,val,train
hot_var11__gpnhs.mp4,hot,gpnhs,train,train
go_var4__gpnhs.mp4,go,gpnhs,train,train
sleep_var5__youtube.mp4,sleep,youtube,val,train
money_var5__gpnhs.mp4,money,gpnhs,train,train
old_var7__youtube.mp4,old,youtube,train,train
shop_var2__mp4.mp4,shop,wolver,train,train
learn_var10__gpnhs.mp4,learn,gpnhs,train,train
hear__signstation.mp4,hear,signstation,train,train
family_var15__mp4.mp4,family,cs,train,train
sign_var2__signstation.mp4,sign,signstation,train,train
phone_var2__signstation.mp4,phone,signstation,train,train
which_var4__corpusngt.mp4,which,corpusngt,train,train
school_var3__signmonkey.mp4,school,signmonkey,test,train
sister_var6__gpnhs.mp4,sister,gpnhs,train,train
new_var2__signmonkey.mp4,new,signmonkey,train,train
go_var8__signstation.mp4,go,signstation,train,train
work_var10__bslfirst.mp4,work,bslfirst,train,train
think_var11__signmonkey.mp4,think,signmonkey,train,train
help_var3__mp4.mp4,help,ict,train,train
school_var2__mp4.mp4,school,wolver,train,train
what_var9__youtube.mp4,what,youtube,test,train
five_var4__nf.mp4,five,nf,test,train
five_var5__youtube.mp4,five,youtube,train,train
work_var7__signstation.mp4,work,signstation,train,train
no_var4__nf.mp4,no,nf,train,train
brother__signstation.mp4,brother,signstation,train,train
like_var3__signon.mp4,like,signon,val,test
fast_var2__signon.mp4,fast,signon,train,test
when_var3__youtube.mp4,when,youtube,train,train
good-afternoon_var9__youtube.mp4,good-afternoon,youtube,val,train
drink_var4__corpusngt.mp4,drink,corpusngt,train,train
night_var8__gpnhs.mp4,night,gpnhs,train,train
read_var3__mp4.mp4,read,ict,test,train
three__signstation.mp4,three,signstation,train,train
slow_var2__youtube.mp4,slow,youtube,train,train
night_var12__youtube.mp4,night,youtube,test,train
deaf_var5__corpusngt.mp4,deaf,corpusngt,train,train
phone_var5__nf.mp4,phone,nf,train,train
sorry_var5__ExeterDeafAcademyVoiceOff.mp4,sorry,ExeterDeafAcademyVoiceOff,train,train
which_var2__signstation.mp4,which,signstation,val,train
four_var5__nf.mp4,four,nf,train,train
work_var4__signstation.mp4,work,signstation,train,train
shop_var7__signmonkey.mp4,shop,signmonkey,train,train
morning_var11__signmonkey.mp4,morning,signmonkey,test,train
hospital_var3__bslfirst.mp4,hospital,bslfirst,train,train
want__signstation.mp4,want,signstation,train,train
morning__signstation.mp4,morning,signstation,train,train
office_var9__signstation.mp4,office,signstation,train,train
cold_var9__signstation.mp4,cold,signstation,train,train
baby_var4__signmonkey.mp4,baby,signmonkey,train,train
name_var2__signmonkey.mp4,name,signmonkey,train,train
happy_var5__nf.mp4,happy,nf,val,train
home_var13__bslfirst.mp4,home,bslfirst,val,train
understand_var4__gpnhs.mp4,understand,gpnhs,train,train
think_var8__signstation.mp4,think,signstation,val,train
hearing__signstation.mp4,hearing,signstation,train,train
happy_var8__youtube.mp4,happy,youtube,train,train
sister__signstation.mp4,sister,signstation,train,train
think_var10__signstation.mp4,think,signstation,train,train
hear_var8__signstation.mp4,hear,signstation,test,train
morning_var2__deafway.mp4,morning,deafway,train,val
easy_var5__gpnhs.mp4,easy,gpnhs,train,train
brother_var6__gpnhs.mp4,brother,gpnhs,test,train
phone_var3__youtube.mp4,phone,youtube,train,train
thank-you_var9__gpnhs.mp4,thank-you,gpnhs,train,train
home_var12__mp4.mp4,home,wolver,train,train
teach_var2__corpusngt.mp4,teach,corpusngt,test,train
need__signstation.mp4,need,signstation,test,train
think_var7__youtube.mp4,think,youtube,train,train
phone_var4__corpusngt.mp4,phone,corpusngt,val,train
please_var5__youtube.mp4,please,youtube,val,train
who_var7__nf.mp4,who,nf,train,train
they__signstation.mp4,they,signstation,train,train
when__signstation.mp4,when,signstation,test,train
thank-you_var6__youtube.mp4,thank-you,youtube,train,train
teach__signstation.mp4,teach,signstation,train,train
welcome_var3__signmonkey.mp4,welcome,signmonkey,train,train
sister_var3__deafway.mp4,sister,deafway,train,val
week_var3__winkball.mp4,week,winkball,test,val
tomorrow_var2__gpnhs.mp4,tomorrow,gpnhs,train,train
child_var5__signstation.mp4,child,signstation,train,train
bad_var2__youtube.mp4,bad,youtube,test,train
toilet_var12__signmonkey.mp4,toilet,signmonkey,train,train
cold_var5__gpnhs.mp4,cold,gpnhs,train,train
one_var4__corpusngt.mp4,one,corpusngt,train,train
father_var5__gpnhs.mp4,father,gpnhs,val,train
slow__signstation.mp4,slow,signstation,train,train
speak_var5__nf.mp4,speak,nf,train,train
food_var7__nf.mp4,food,nf,test,train
money_var2__signstation.mp4,money,signstation,train,train
deaf_var3__youtube.mp4,deaf,youtube,val,train
good-evening_var3__youtube.mp4,good-evening,youtube,test,train
hello_var3__signstation.mp4,hello,signstation,test,train
hear_var9__corpusngt.mp4,hear,corpusngt,train,train
three_var5__nf.mp4,three,nf,train,train
help_var8__ExeterDeafAcademyVoiceOff.mp4,help,ExeterDeafAcademyVoiceOff,train,train
hello_var10__youtube.mp4,hello,youtube,train,train
think_var9__signstation.mp4,think,signstation,val,train
think_var16__signon.mp4,think,signon,test,test
hard_var2__signstation.mp4,hard,signstation,train,train
understand_var3__signmonkey.mp4,understand,signmonkey,val,train
shop_var8__gpnhs.mp4,shop,gpnhs,train,train
night_var5__signmonkey.mp4,night,signmonkey,val,train
play_var8__gpnhs.mp4,play,gpnhs,train,train
think_var12__signstation.mp4,think,signstation,test,train
see_var10__youtube.mp4,see,youtube,train,train
write_var5__mp4.mp4,write,ict,test,train
need_var4__signstation.mp4,need,signstation,train,train
eat_var2__signstation.mp4,eat,signstation,train,train
toilet_var8__bslfirst.mp4,toilet,bslfirst,train,train
thank-you_var8__signstation.mp4,thank-you,signstation,train,train
slow_var5__signstation.mp4,slow,signstation,train,train
play_var7__mp4.mp4,play,wolver,train,train
learn_var5__gpnhs.mp4,learn,gpnhs,train,train
friend_var4__gpnhs.mp4,friend,gpnhs,train,train
name_var6__signstation.mp4,name,signstation,train,train
see_var12__corpusngt.mp4,see,corpusngt,test,train
hot_var10__youtube.mp4,hot,youtube,train,train
where_var6__nf.mp4,where,nf,train,train
think_var4__signmonkey.mp4,think,signmonkey,train,train
week_var5__gpnhs.mp4,week,gpnhs,train,train
easy_var8__youtube.mp4,easy,youtube,train,train
night_var11__bslfirst.mp4,night,bslfirst,train,train
home_var8__signmonkey.mp4,home,signmonkey,train,train
what_var3__youtube.mp4,what,youtube,train,train
two_var4__youtube.mp4,two,youtube,train,train
shop_var4__gpnhs.mp4,shop,gpnhs,train,train
name_var9__signon.mp4,name,signon,train,test
hot_var2__winkball.mp4,hot,winkball,train,val
phone_var7__youtube.mp4,phone,youtube,train,train
sister_var9__youtube.mp4,sister,youtube,train,train
read_var5__signon.mp4,read,signon,train,test
deaf_var2__signstation.mp4,deaf,signstation,train,train
father_var2__deafway.mp4,father,deafway,train,val
hello_var8__youtube.mp4,hello,youtube,train,train
goodbye__signstation.mp4,goodbye,signstation,train,train
good-afternoon_var3__ExeterDeafAcademyVoiceOff.mp4,good-afternoon,ExeterDeafAcademyVoiceOff,train,train
slow_var7__bslfirst.mp4,slow,bslfirst,train,train
learn_var7__ExeterDeafAcademyVoiceOff.mp4,learn,ExeterDeafAcademyVoiceOff,val,train
two__signstation.mp4,two,signstation,test,train
come_var2__signstation.mp4,come,signstation,train,train
write_var2__signon.mp4,write,signon,train,test
like_var6__signon.mp4,like,signon,train,test
baby_var6__gpnhs.mp4,baby,gpnhs,val,train
slow_var4__gpnhs.mp4,slow,gpnhs,train,train
speak_var2__signstation.mp4,speak,signstation,train,train
four__signstation.mp4,four,signstation,test,train
write__signstation.mp4,write,signstation,val,train
old_var3__signmonkey.mp4,old,signmonkey,val,train
year__signstation.mp4,year,signstation,val,train
see_var14__mp4.mp4,see,wolver,train,train
good-evening_var4__youtube.mp4,good-evening,youtube,val,train
office_var6__gpnhs.mp4,office,gpnhs,train,train
good-afternoon__signstation.mp4,good-afternoon,signstation,train,train
yesterday_var4__signmonkey.mp4,yesterday,signmonkey,val,train
good-night_var3__deafsigns.mp4,good-night,deafsigns,train,test
big_var6__gpnhs.mp4,big,gpnhs,train,train
mother_var7__youtube.mp4,mother,youtube,test,train
small_var8__bslfirst.mp4,small,bslfirst,train,train
work_var9__bslfirst.mp4,work,bslfirst,train,train
toilet_var9__youtube.mp4,toilet,youtube,val,train
work_var6__corpusngt.mp4,work,corpusngt,test,train
big_var4__signon.mp4,big,signon,train,test
child_var8__signmonkey.mp4,child,signmonkey,test,train
yes_var5__youtube.mp4,yes,youtube,train,train
school__signstation.mp4,school,signstation,val,train
sign_var9__mp4.mp4,sign,ict,val,train
friend_var7__bslfirst.mp4,friend,bslfirst,train,train
help_var5__signmonkey.mp4,help,signmonkey,test,train
you_var2__signstation.mp4,you,signstation,val,train
family_var9__bslfirst.mp4,family,bslfirst,test,train
love_var2__deafway.mp4,love,deafway,train,val
my_var5__gpnhs.mp4,my,gpnhs,train,train
hot_var3__signmonkey.mp4,hot,signmonkey,train,train
baby__signstation.mp4,baby,signstation,train,train
school_var4__corpusngt.mp4,school,corpusngt,train,train
work_var2__signmonkey.mp4,work,signmonkey,train,train
water_var7__urine.mp4.mp4,water,ssc,val,train
write_var4__ExeterDeafAcademyVoiceOff.mp4,write,ExeterDeafAcademyVoiceOff,train,train
slow_var8__youtube.mp4,slow,youtube,train,train
yes_var4__ExeterDeafAcademyVoiceOff.mp4,yes,ExeterDeafAcademyVoiceOff,train,train
read_var2__signstation.mp4,read,signstation,train,train
new_var6__bslfirst.mp4,new,bslfirst,train,train
month_var4__corpusngt.mp4,month,corpusngt,train,train
read_var7__ExeterDeafAcademyVoiceOff.mp4,read,ExeterDeafAcademyVoiceOff,val,train
mother_var4__corpusngt.mp4,mother,corpusngt,train,train
child_var13__nf.mp4,child,nf,train,train
morning_var4__bslfirst.mp4,morning,bslfirst,train,train
easy_var2__signmonkey.mp4,easy,signmonkey,train,train
speak__signstation.mp4,speak,signstation,test,train
family_var14__bslfirst.mp4,family,bslfirst,val,train
yesterday_var5__gpnhs.mp4,yesterday,gpnhs,train,train
love_var5__youtube.mp4,love,youtube,train,train
yesterday_var2__signstation.mp4,yesterday,signstation,train,train
office_var8__signstation.mp4,office,signstation,train,train
my_var3__signmonkey.mp4,my,signmonkey,train,train
like_var4__gpnhs.mp4,like,gpnhs,train,train
what_var11__youtube.mp4,what,youtube,train,train
welcome__signstation.mp4,welcome,signstation,train,train
home_var7__youtube.mp4,home,youtube,train,train
yes_var2__gpnhs.mp4,yes,gpnhs,train,train
shop_var5__bslfirst.mp4,shop,bslfirst,train,train
brother_var2__signstation.mp4,brother,signstation,train,train
come__signstation.mp4,come,signstation,train,train
today_var4__gpnhs.mp4,today,gpnhs,test,train
sister_var2__signstation.mp4,sister,signstation,train,train
old_var4__corpusngt.mp4,old,corpusngt,train,train
child_var11__corpusngt.mp4,child,corpusngt,train,train
go_var11__mp4.mp4,go,ict,train,train
brother_var3__deafway.mp4,brother,deafway,train,val
hear_var7__ExeterDeafAcademyVoiceOff.mp4,hear,ExeterDeafAcademyVoiceOff,train,train
happy_var3__corpusngt.mp4,happy,corpusngt,train,train
toilet_var4__youtube.mp4,toilet,youtube,train,train
office_var2__signstation.mp4,office,signstation,train,train
like_var5__signstation.mp4,like,signstation,test,train
who_var9__youtube.mp4,who,youtube,train,train
hearing_var5__corpusngt.mp4,hearing,corpusngt,train,train
four_var6__youtube.mp4,four,youtube,train,train
goodbye_var5__youtube.mp4,goodbye,youtube,train,train
deaf_var9__youtube.mp4,deaf,youtube,train,train
eat_var3__corpusngt.mp4,eat,corpusngt,test,train
know_var5__gpnhs.mp4,know,gpnhs,val,train
think_var13__signmonkey.mp4,think,signmonkey,train,train
work_var8__solve_cit.mp4.mp4,work,ssc,train,train
need_var2__signstation.mp4,need,signstation,train,train
phone__signstation.mp4,phone,signstation,train,train
love_var3__corpusngt.mp4,love,corpusngt,val,train
work_var3__ExeterDeafAcademyVoiceOff.mp4,work,ExeterDeafAcademyVoiceOff,train,train
deaf_var6__corpusngt.mp4,deaf,corpusngt,train,train
write_var3__corpusngt.mp4,write,corpusngt,train,train
child_var9__signmonkey.mp4,child,signmonkey,train,train
name__signstation.mp4,name,signstation,train,train
sad_var5__gpnhs.mp4,sad,gpnhs,train,train
go_var6__nf.mp4,go,nf,train,train
small_var3__signstation.mp4,small,signstation,train,train
think_var15__gpnhs.mp4,think,gpnhs,train,train
you_var4__youtube.mp4,you,youtube,train,train
hear_var3__signstation.mp4,hear,signstation,train,train
thank-you_var4__youtube.mp4,thank-you,youtube,train,train
how__signstation.mp4,how,signstation,train,train
food_var4__youtube.mp4,food,youtube,train,train
water_var5__signmonkey.mp4,water,signmonkey,train,train
office_var11__bslfirst.mp4,office,bslfirst,test,train
today__signstation.mp4,today,signstation,train,train
which_var6__youtube.mp4,which,youtube,train,train
brother_var4__signmonkey.mp4,brother,signmonkey,val,train
understand_var2__signstation.mp4,understand,signstation,test,train
toilet_var7__bslfirst.mp4,toilet,bslfirst,train,train
