filename,word,variation,provider,source_url,duration_s,fps,width,height,n_frames,ok
please_var4__youtube.mp4,please,4,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/DOf3X-87PaQ.mp4,3.203,29.97,640,360,96,True
please_var5__youtube.mp4,please,5,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/auPMG2cE5dg.mp4,3.28,25.0,480,320,82,True
please_var6__signmonkey.mp4,please,6,signmonkey,https://media.signbsl.com/videos/bsl/signmonkey/mp4/please.mp4,2.159,28.25,640,480,61,True
please_var7__youtube.mp4,please,7,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/9BmfpZl8hkg.mp4,5.8,25.0,640,360,145,True
thank-you__signstation.mp4,thank-you,1,signstation,https://media.signbsl.com/videos/bsl/signstation/thank%20you.mp4,1.32,25.0,320,240,33,True
thank-you_var2__signstation.mp4,thank-you,2,signstation,https://media.signbsl.com/videos/bsl/signstation/thank-you.mp4,1.24,25.0,320,240,31,True
thank-you_var3__deafway.mp4,thank-you,3,deafway,https://media.signbsl.com/videos/bsl/deafway/mp4/Thank%20you.mp4,1.72,25.0,640,360,43,True
thank-you_var4__youtube.mp4,thank-you,4,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/jLqplcvPnG0.mp4,2.97,29.97,640,360,89,True
thank-you_var5__signmonkey.mp4,thank-you,5,signmonkey,https://media.signbsl.com/videos/bsl/signmonkey/mp4/thank%20you.mp4,2.018,28.25,640,480,57,True
thank-you_var6__youtube.mp4,thank-you,6,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/__lLQ3mhCvM.mp4,2.88,25.0,640,360,72,True
thank-you_var7__youtube.mp4,thank-you,7,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/XPBiK2xY8-4.mp4,5.44,25.0,640,360,136,True
thank-you_var8__signstation.mp4,thank-you,8,signstation,https://media.signbsl.com/videos/bsl/signstation/thanks.mp4,1.24,25.0,320,240,31,True
thank-you_var9__gpnhs.mp4,thank-you,9,gpnhs,https://media.signbsl.com/videos/bsl/gpnhs/mp4/thanks.mp4,2.28,25.0,480,360,57,True
sorry__signstation.mp4,sorry,1,signstation,https://media.signbsl.com/videos/bsl/signstation/sorry.mp4,2.32,25.0,320,240,58,True
sorry_var2__deafway.mp4,sorry,2,deafway,https://media.signbsl.com/videos/bsl/deafway/mp4/sorry.mp4,1.39,15.108,480,270,21,True
sorry_var3__youtube.mp4,sorry,3,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/SlQCAOfKvds.mp4,3.84,25.0,480,320,96,True
sorry_var4__signmonkey.mp4,sorry,4,signmonkey,https://media.signbsl.com/videos/bsl/signmonkey/mp4/sorry.mp4,3.413,28.417,640,480,97,True
sorry_var5__ExeterDeafAcademyVoiceOff.mp4,sorry,5,ExeterDeafAcademyVoiceOff,https://media.signbsl.com/videos/bsl/ExeterDeafAcademyVoiceOff/mp4/-K0oRSWTfgU.mp4,6.68,25.0,640,360,167,True
sorry_var6__youtube.mp4,sorry,6,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/ry2V-o1jINY.mp4,2.135,29.97,640,360,64,True
sorry_var7__youtube.mp4,sorry,7,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/MzYceHmWs1k.mp4,3.103,29.97,640,360,93,True
yes__signstation.mp4,yes,1,signstation,https://media.signbsl.com/videos/bsl/signstation/yes.mp4,2.32,25.0,320,240,58,True
yes_var2__gpnhs.mp4,yes,2,gpnhs,https://media.signbsl.com/videos/bsl/gpnhs/mp4/yes.mp4,2.703,29.97,480,360,81,True
yes_var3__nf.mp4,yes,3,nf,https://media.signbsl.com/videos/bsl/nf/mp4/Yes.mp4,2.903,29.97,384,216,87,True
yes_var4__ExeterDeafAcademyVoiceOff.mp4,yes,4,ExeterDeafAcademyVoiceOff,https://media.signbsl.com/videos/bsl/ExeterDeafAcademyVoiceOff/mp4/LeUaOIYdeus.mp4,5.64,25.0,640,360,141,True
yes_var5__youtube.mp4,yes,5,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/3hYWm_LaPGE.mp4,2.567,30.0,640,360,77,True
no__signstation.mp4,no,1,signstation,https://media.signbsl.com/videos/bsl/signstation/no.mp4,1.52,25.0,320,240,38,True
no_var2__corpusngt.mp4,no,2,corpusngt,https://media.signbsl.com/videos/bsl/corpusngt/mp4/vlc-record-2015-04-16-16h33m22s-BSL_CN_lex_b.mpg-.mp4,3.28,25.0,352,288,82,True
no_var3__gpnhs.mp4,no,3,gpnhs,https://media.signbsl.com/videos/bsl/gpnhs/mp4/no.mp4,2.836,29.97,480,360,85,True
no_var4__nf.mp4,no,4,nf,https://media.signbsl.com/videos/bsl/nf/mp4/No.mp4,2.567,30.0,384,216,77,True
no_var5__ExeterDeafAcademyVoiceOff.mp4,no,5,ExeterDeafAcademyVoiceOff,https://media.signbsl.com/videos/bsl/ExeterDeafAcademyVoiceOff/mp4/ZzmnEdReynM.mp4,6.84,25.0,640,360,171,True
no_var6__youtube.mp4,no,6,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/WfxoyzZbdUE.mp4,3.633,30.0,640,360,109,True
no_var7__youtube.mp4,no,7,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/CkgAmPTpetM.mp4,2.44,25.0,640,360,61,True
welcome__signstation.mp4,welcome,1,signstation,https://media.signbsl.com/videos/bsl/signstation/welcome.mp4,1.92,25.0,320,240,48,True
welcome_var2__youtube.mp4,welcome,2,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/hwA0v_Pd844.mp4,2.92,25.0,480,320,73,True
welcome_var3__signmonkey.mp4,welcome,3,signmonkey,https://media.signbsl.com/videos/bsl/signmonkey/mp4/welcome.mp4,2.733,15.0,640,480,41,True
welcome_var4__deafsigns.mp4,welcome,4,deafsigns,https://media.signbsl.com/videos/bsl/deafsigns/mp4/f99f63195ab15a26a8b29b66dcfe610a.mp4,3.267,30.0,640,540,98,True
welcome_var5__youtube.mp4,welcome,5,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/7O488t_kGuw.mp4,5.405,29.97,640,360,162,True
good-morning__signstation.mp4,good-morning,1,signstation,https://media.signbsl.com/videos/bsl/signstation/good%20morning.mp4,1.72,25.0,320,240,43,True
good-morning_var2__deafway.mp4,good-morning,2,deafway,https://media.signbsl.com/videos/bsl/deafway/mp4/Good%20Morning.mp4,2.48,25.0,640,360,62,True
good-morning_var3__ExeterDeafAcademyVoiceOff.mp4,good-morning,3,ExeterDeafAcademyVoiceOff,https://media.signbsl.com/videos/bsl/ExeterDeafAcademyVoiceOff/mp4/E5UH1tG3x18.mp4,6.68,25.0,640,360,167,True
good-morning_var4__bslfirst.mp4,good-morning,4,bslfirst,https://media.signbsl.com/videos/bsl/bslfirst/mp4/996135548.mp4,2.769,29.97,720,404,83,True
good-morning_var5__youtube.mp4,good-morning,5,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/XVJw6txEkeM.mp4,5.6,30.0,640,360,168,True
good-morning_var6__youtube.mp4,good-morning,6,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/r6O5JdK_mK8.mp4,4.667,30.0,640,360,140,True
good-morning_var7__youtube.mp4,good-morning,7,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/5pWwSt1E018.mp4,3.04,25.0,640,360,76,True
good-morning_var8__youtube.mp4,good-morning,8,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/DSrn4pXEdMs.mp4,3.5,30.0,640,360,105,True
good-afternoon__signstation.mp4,good-afternoon,1,signstation,https://media.signbsl.com/videos/bsl/signstation/good-afternoon.mp4,3.0,25.0,320,240,75,True
good-afternoon_var2__deafway.mp4,good-afternoon,2,deafway,https://media.signbsl.com/videos/bsl/deafway/mp4/Good%20Afternoon.mp4,2.28,25.0,640,360,57,True
good-afternoon_var3__ExeterDeafAcademyVoiceOff.mp4,good-afternoon,3,ExeterDeafAcademyVoiceOff,https://media.signbsl.com/videos/bsl/ExeterDeafAcademyVoiceOff/mp4/jT4C2OQVJX8.mp4,7.8,25.0,640,360,195,True
good-afternoon_var4__deafsigns.mp4,good-afternoon,4,deafsigns,https://media.signbsl.com/videos/bsl/deafsigns/mp4/63566f49e845bbbae84d0ebc5ba39580.mp4,3.567,30.0,640,594,107,True
good-afternoon_var5__bslfirst.mp4,good-afternoon,5,bslfirst,https://media.signbsl.com/videos/bsl/bslfirst/mp4/996135295.mp4,3.337,29.97,720,404,100,True
good-afternoon_var6__youtube.mp4,good-afternoon,6,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/03hUgm_6znA.mp4,5.467,30.0,640,360,164,True
good-afternoon_var7__youtube.mp4,good-afternoon,7,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/ARbX_GcomYk.mp4,5.133,30.0,640,360,154,True
good-afternoon_var8__youtube.mp4,good-afternoon,8,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/iySLud4m9tg.mp4,2.936,29.97,640,360,88,True
good-afternoon_var9__youtube.mp4,good-afternoon,9,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/oMk-_fai7FI.mp4,3.067,30.0,640,360,92,True
good-evening__signstation.mp4,good-evening,1,signstation,https://media.signbsl.com/videos/bsl/signstation/good%20evening.mp4,1.68,25.0,320,240,42,True
good-evening_var2__deafsigns.mp4,good-evening,2,deafsigns,https://media.signbsl.com/videos/bsl/deafsigns/mp4/4f550234849cc13d1dec7a6c24fa9a05.mp4,3.733,30.0,640,600,112,True
good-evening_var3__youtube.mp4,good-evening,3,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/fsjwqXLEmf8.mp4,4.3,30.0,640,360,129,True
good-evening_var4__youtube.mp4,good-evening,4,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/jv6ISUcjcz0.mp4,5.067,30.0,640,360,152,True
good-evening_var5__youtube.mp4,good-evening,5,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/6UcWvhypRQM.mp4,3.267,30.0,640,360,98,True
good-night__signstation.mp4,good-night,1,signstation,https://media.signbsl.com/videos/bsl/signstation/good%20night.mp4,1.44,25.0,320,240,36,True
good-night_var2__deafway.mp4,good-night,2,deafway,https://media.signbsl.com/videos/bsl/deafway/mp4/Goodnight.mp4,2.16,25.0,640,360,54,True
good-night_var3__deafsigns.mp4,good-night,3,deafsigns,https://media.signbsl.com/videos/bsl/deafsigns/mp4/544e93daeefa6f86620fa6eb67d9c5c4.mp4,3.033,30.0,640,548,91,True
good-night_var4__youtube.mp4,good-night,4,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/8fIZgm6ognw.mp4,4.567,30.0,640,360,137,True
good-night_var5__youtube.mp4,good-night,5,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/Oe4rvYWD4vw.mp4,4.967,30.0,640,360,149,True
good-night_var6__youtube.mp4,good-night,6,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/jw49mcJxvjk.mp4,3.5,30.0,640,360,105,True
i__signstation.mp4,i,1,signstation,https://media.signbsl.com/videos/bsl/signstation/i-rh-sd-keyed-blue.mp4,3.6,25.0,512,374,90,True
i_var2__youtube.mp4,i,2,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/vtQc9AV4z48.mp4,3.203,29.97,640,360,96,True
i_var3__youtube.mp4,i,3,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/9VLdezuUs6I.mp4,3.24,25.0,640,360,81,True
i_var4__signstation.mp4,i,4,signstation,https://media.signbsl.com/videos/bsl/signstation/i.mp4,1.72,25.0,320,240,43,True
i_var5__corpusngt.mp4,i,5,corpusngt,https://media.signbsl.com/videos/bsl/corpusngt/mp4/vlc-record-2015-04-10-11h28m16s-BSL_CN_lex_b.mpg-.mp4,2.8,25.0,352,288,70,True
you__signstation.mp4,you,1,signstation,https://media.signbsl.com/videos/bsl/signstation/you.mp4,2.08,25.0,320,240,52,True
you_var2__signstation.mp4,you,2,signstation,https://media.signbsl.com/videos/bsl/signstation/101-06-168.mp4,2.2,25.0,512,374,55,True
you_var3__nf.mp4,you,3,nf,https://media.signbsl.com/videos/bsl/nf/mp4/You.mp4,2.069,29.97,384,216,62,True
you_var4__youtube.mp4,you,4,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/2CoIje1R2HM.mp4,3.12,25.0,640,360,78,True
he__signstation.mp4,he,1,signstation,https://media.signbsl.com/videos/bsl/signstation/he.mp4,2.32,25.0,320,240,58,True
she__signstation.mp4,she,1,signstation,https://media.signbsl.com/videos/bsl/signstation/she.mp4,1.48,25.0,320,240,37,True
we__signstation.mp4,we,1,signstation,https://media.signbsl.com/videos/bsl/signstation/we.mp4,1.84,25.0,512,374,46,True
they__signstation.mp4,they,1,signstation,https://media.signbsl.com/videos/bsl/signstation/they.mp4,1.6,25.0,320,240,40,True
my__signstation.mp4,my,1,signstation,https://media.signbsl.com/videos/bsl/signstation/mine.mp4,1.92,25.0,320,240,48,True
my_var2__signstation.mp4,my,2,signstation,https://media.signbsl.com/videos/bsl/signstation/my.mp4,1.72,25.0,320,240,43,True
my_var3__signmonkey.mp4,my,3,signmonkey,https://media.signbsl.com/videos/bsl/signmonkey/mp4/my.mp4,2.667,15.0,640,480,40,True
my_var4__corpusngt.mp4,my,4,corpusngt,https://media.signbsl.com/videos/bsl/corpusngt/mp4/vlc-record-2015-04-16-16h29m30s-BSL_CN_lex_b.mpg-.mp4,3.04,25.0,352,288,76,True
my_var5__gpnhs.mp4,my,5,gpnhs,https://media.signbsl.com/videos/bsl/gpnhs/mp4/mine.mp4,4.059,17.0,640,426,69,True
my_var6__nf.mp4,my,6,nf,https://media.signbsl.com/videos/bsl/nf/mp4/Mine.mp4,2.202,29.97,384,216,66,True
your__signstation.mp4,your,1,signstation,https://media.signbsl.com/videos/bsl/signstation/your.mp4,1.76,25.0,320,240,44,True
your_var2__signmonkey.mp4,your,2,signmonkey,https://media.signbsl.com/videos/bsl/signmonkey/mp4/your.mp4,2.294,28.333,640,480,65,True
what__signstation.mp4,what,1,signstation,https://media.signbsl.com/videos/bsl/signstation/what.mp4,1.36,25.0,512,374,34,True
what_var2__signstation.mp4,what,2,signstation,https://media.signbsl.com/videos/bsl/signstation/what-extreme.mp4,1.6,25.0,512,374,40,True
what_var3__youtube.mp4,what,3,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/kxag6_1TKAA.mp4,3.44,25.0,480,320,86,True
what_var4__signmonkey.mp4,what,4,signmonkey,https://media.signbsl.com/videos/bsl/signmonkey/mp4/what.mp4,2.294,28.333,640,480,65,True
what_var5__gpnhs.mp4,what,5,gpnhs,https://media.signbsl.com/videos/bsl/gpnhs/mp4/what.mp4,3.604,29.97,480,360,108,True
what_var6__nf.mp4,what,6,nf,https://media.signbsl.com/videos/bsl/nf/mp4/What.mp4,3.036,29.97,384,216,91,True
what_var7__ExeterDeafAcademyVoiceOff.mp4,what,7,ExeterDeafAcademyVoiceOff,https://media.signbsl.com/videos/bsl/ExeterDeafAcademyVoiceOff/mp4/0-VyZPrCCIw.mp4,7.6,25.0,640,360,190,True
what_var8__youtube.mp4,what,8,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/JT1xfJzR10s.mp4,5.88,25.0,640,360,147,True
what_var9__youtube.mp4,what,9,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/h0R_38IYLx8.mp4,3.37,29.97,640,360,101,True
what_var10__youtube.mp4,what,10,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/ex3mMreGI6w.mp4,2.102,29.97,640,360,63,True
what_var11__youtube.mp4,what,11,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/FBGXcR0xurM.mp4,2.56,25.0,640,360,64,True
what_var12__youtube.mp4,what,12,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/Ehdmrey_BfE.mp4,3.8,30.0,640,360,114,True
where__signstation.mp4,where,1,signstation,https://media.signbsl.com/videos/bsl/signstation/where.mp4,1.92,25.0,320,240,48,True
where_var2__signstation.mp4,where,2,signstation,https://media.signbsl.com/videos/bsl/signstation/101-06-1219.mp4,3.0,25.0,512,374,75,True
where_var3__youtube.mp4,where,3,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/qAY6hUsCs84.mp4,3.44,25.0,480,320,86,True
where_var4__signmonkey.mp4,where,4,signmonkey,https://media.signbsl.com/videos/bsl/signmonkey/mp4/where.mp4,3.333,16.5,640,480,55,True
where_var5__gpnhs.mp4,where,5,gpnhs,https://media.signbsl.com/videos/bsl/gpnhs/mp4/where.mp4,2.836,29.97,480,360,85,True
where_var6__nf.mp4,where,6,nf,https://media.signbsl.com/videos/bsl/nf/mp4/Where.mp4,3.337,29.97,384,216,100,True
where_var7__youtube.mp4,where,7,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/74lMfMC0JC8.mp4,7.36,25.0,640,360,184,True
where_var8__youtube.mp4,where,8,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/q6IS7mVvq78.mp4,3.804,29.97,640,360,114,True
where_var9__youtube.mp4,where,9,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/Ta2auSPxikY.mp4,3.667,30.0,640,360,110,True
when__signstation.mp4,when,1,signstation,https://media.signbsl.com/videos/bsl/signstation/when.mp4,1.52,25.0,320,240,38,True
when_var2__signstation.mp4,when,2,signstation,https://media.signbsl.com/videos/bsl/signstation/101-06-1217.mp4,2.8,25.0,512,374,70,True
when_var3__youtube.mp4,when,3,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/4pHEfwqxuvs.mp4,3.68,25.0,480,320,92,True
when_var4__signmonkey.mp4,when,4,signmonkey,https://media.signbsl.com/videos/bsl/signmonkey/mp4/when.mp4,3.6,15.0,640,480,54,True
when_var5__gpnhs.mp4,when,5,gpnhs,https://media.signbsl.com/videos/bsl/gpnhs/mp4/when.mp4,2.936,29.97,480,360,88,True
when_var6__nf.mp4,when,6,nf,https://media.signbsl.com/videos/bsl/nf/mp4/When.mp4,2.9,30.0,384,216,87,True
when_var7__youtube.mp4,when,7,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/Kw99zZnpbEw.mp4,7.16,25.0,640,360,179,True
when_var8__youtube.mp4,when,8,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/SuSf3heEz5M.mp4,4.767,30.0,640,360,143,True
who__signstation.mp4,who,1,signstation,https://media.signbsl.com/videos/bsl/signstation/WHO.mp4,1.6,25.0,320,240,40,True
who_var2__signstation.mp4,who,2,signstation,https://media.signbsl.com/videos/bsl/signstation/WHO-2.mp4,1.68,25.0,320,240,42,True
who_var3__signstation.mp4,who,3,signstation,https://media.signbsl.com/videos/bsl/signstation/WHO-3.mp4,1.56,25.0,320,240,39,True
who_var4__signstation.mp4,who,4,signstation,https://media.signbsl.com/videos/bsl/signstation/101-06-1227.mp4,3.08,25.0,512,374,77,True
who_var5__signmonkey.mp4,who,5,signmonkey,https://media.signbsl.com/videos/bsl/signmonkey/mp4/who.mp4,2.859,28.333,640,480,81,True
who_var6__corpusngt.mp4,who,6,corpusngt,https://media.signbsl.com/videos/bsl/corpusngt/mp4/vlc-record-2015-04-24-20h23m13s-BSL_CN_lex_b.mpg-.mp4,4.0,25.0,352,288,100,True
who_var7__nf.mp4,who,7,nf,https://media.signbsl.com/videos/bsl/nf/mp4/Who.mp4,2.769,29.97,384,216,83,True
who_var8__youtube.mp4,who,8,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/DVfsmuEKlpo.mp4,5.6,25.0,640,360,140,True
who_var9__youtube.mp4,who,9,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/wlqFMrNtSiU.mp4,3.433,30.0,640,360,103,True
why__signstation.mp4,why,1,signstation,https://media.signbsl.com/videos/bsl/signstation/why.mp4,1.48,25.0,320,240,37,True
why_var2__signmonkey.mp4,why,2,signmonkey,https://media.signbsl.com/videos/bsl/signmonkey/mp4/why.mp4,2.97,16.5,640,480,49,True
why_var3__gpnhs.mp4,why,3,gpnhs,https://media.signbsl.com/videos/bsl/gpnhs/mp4/why.mp4,3.103,29.97,480,360,93,True
why_var4__youtube.mp4,why,4,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/Dv6wkEf01P4.mp4,5.92,25.0,640,360,148,True
why_var5__youtube.mp4,why,5,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/Fec5l-PAoqk.mp4,2.603,29.97,640,360,78,True
why_var6__youtube.mp4,why,6,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/ELbTWACocSE.mp4,3.933,30.0,640,360,118,True
how__signstation.mp4,how,1,signstation,https://media.signbsl.com/videos/bsl/signstation/how.mp4,1.92,25.0,320,240,48,True
how_var2__signstation.mp4,how,2,signstation,https://media.signbsl.com/videos/bsl/signstation/how-2.mp4,1.6,25.0,320,240,40,True
how_var3__signstation.mp4,how,3,signstation,https://media.signbsl.com/videos/bsl/signstation/101-06-1221.mp4,3.32,25.0,512,374,83,True
how_var4__youtube.mp4,how,4,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/DBbuPmLpbyM.mp4,3.16,25.0,480,320,79,True
how_var5__signmonkey.mp4,how,5,signmonkey,https://media.signbsl.com/videos/bsl/signmonkey/mp4/how.mp4,3.576,16.5,640,480,59,True
how_var6__corpusngt.mp4,how,6,corpusngt,https://media.signbsl.com/videos/bsl/corpusngt/mp4/vlc-record-2015-04-08-15h17m40s-BSL_CN_lex_b.mpg-.mp4,4.12,25.0,352,288,103,True
how_var7__nf.mp4,how,7,nf,https://media.signbsl.com/videos/bsl/nf/mp4/How.mp4,3.17,29.97,384,216,95,True
how_var8__youtube.mp4,how,8,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/n5uQMhEk1nI.mp4,4.071,29.97,640,360,122,True
how_var9__youtube.mp4,how,9,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/_ySnK_IZG0g.mp4,3.0,25.0,640,360,75,True
how_var10__youtube.mp4,how,10,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/nlGhaifg6Oc.mp4,4.3,30.0,640,360,129,True
which__signstation.mp4,which,1,signstation,https://media.signbsl.com/videos/bsl/signstation/which.mp4,1.8,25.0,512,374,45,True
which_var2__signstation.mp4,which,2,signstation,https://media.signbsl.com/videos/bsl/signstation/which-extreme.mp4,1.68,25.0,512,374,42,True
which_var3__signmonkey.mp4,which,3,signmonkey,https://media.signbsl.com/videos/bsl/signmonkey/mp4/which.mp4,2.848,16.5,640,480,47,True
which_var4__corpusngt.mp4,which,4,corpusngt,https://media.signbsl.com/videos/bsl/corpusngt/mp4/vlc-record-2015-04-24-20h23m53s-BSL_CN_lex_b.mpg-.mp4,2.92,25.0,352,288,73,True
which_var5__gpnhs.mp4,which,5,gpnhs,https://media.signbsl.com/videos/bsl/gpnhs/mp4/which.mp4,3.07,29.97,480,360,92,True
which_var6__youtube.mp4,which,6,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/xR6h1zXNiiw.mp4,4.033,30.0,640,360,121,True
go__signstation.mp4,go,1,signstation,https://media.signbsl.com/videos/bsl/signstation/go.mp4,1.92,25.0,320,240,48,True
go_var2__youtube.mp4,go,2,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/CoSEPhmliQw.mp4,2.76,25.0,640,360,69,True
go_var3__signmonkey.mp4,go,3,signmonkey,https://media.signbsl.com/videos/bsl/signmonkey/mp4/go.mp4,2.916,29.833,640,480,87,True
go_var4__gpnhs.mp4,go,4,gpnhs,https://media.signbsl.com/videos/bsl/gpnhs/mp4/go.mp4,4.0,25.0,480,360,100,True
go_var5__nf.mp4,go,5,nf,https://media.signbsl.com/videos/bsl/nf/mp4/Go.mp4,2.836,29.97,384,216,85,True
go_var6__nf.mp4,go,6,nf,https://media.signbsl.com/videos/bsl/nf/mp4/Go%20(directional).mp4,2.736,29.97,384,216,82,True
go_var7__youtube.mp4,go,7,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/Lis3Xs6zXrQ.mp4,2.44,25.0,640,360,61,True
go_var8__signstation.mp4,go,8,signstation,https://media.signbsl.com/videos/bsl/signstation/die.mp4,1.56,25.0,320,240,39,True
go_var9__corpusngt.mp4,go,9,corpusngt,https://media.signbsl.com/videos/bsl/corpusngt/mp4/vlc-record-2015-04-08-14h45m03s-BSL_CN_lex_b.mpg-.mp4,4.6,25.0,352,288,115,True
go_var10__bslfirst.mp4,go,10,bslfirst,https://media.signbsl.com/videos/bsl/bslfirst/mp4/996138950.mp4,2.536,29.97,720,404,76,True
